product_name,price_daymart,price_bluemart,price_lulu,category,percentage_change
Kellogg's Honey Smacks 375g  ,19.5,21.99,14.75,Cereals and bars,-11.32332879
Kellogg's Corn Flakes 500g ,17.9,18.5,10.95,Cereals and bars,-3.243243243
Kelloggs Frosties 230g  ,14.25,16,9.15,Cereals and bars,-10.9375
Kellogg'S Coco Pops 375Gm ,18.5,24,16.75,Cereals and bars,-22.91666667
Alpro Drink Coconut Original 1L,20.99,21.98,14.5,Drinks and Juices,-4.504094631
Alpro Soya Original Drink 1Lt,16.99,17,12.5,Drinks and Juices,-0.05882352941
Alpro Drink Almond Unsweetened 1Lt,20.99,22,14.25,Drinks and Juices,-4.590909091
Lacnor Apple Juice 1 Ltr,6.25,6.5,5,Drinks and Juices,-3.846153846
Nescafe Classic 3 In 1 20G ,32,32,29.95,Tea and Coffee,0
Nescafe Gold Jar 200 Gm,41.5,49.48,38.95,Tea and Coffee,-16.12772838
Nescafe Red Mug 200G,33.5,33.5,29.9,Tea and Coffee,0
Nestle Coffee Mate Cremer Jar 400G ,14.95,13.65,13.5,Tea and Coffee,9.523809524
Lipton Extra Strong Tea Bag 25S,6.99,7.5,6,Tea and Coffee,-6.8
Al Shifa Honey Natural 250Gm,19.25,18,15.75,Spreads,6.944444444
Nectaflor Honey Moutn 250G Jar,29.51,32,21,Spreads,-7.78125
Nutella 350 Gm,14.99,17.98,11.81,Spreads,-16.62958843
Nature Valley Protein Peanut & Choco 40Gm ,5.5,7,4.25,Cereals and bars,-21.42857143
Nature Valley Protein Salted Caramel Nut 40Gm,5.5,8,4.25,Cereals and bars,-31.25
Nature Valley Crunchy Oats&Coconut,3.75,3.68,1,Cereals and bars,1.902173913
Oreo Mini 67 Gm,6.25,7.01,5.2,Snacks,-10.84165478
Cadbruy Dairy Milk Hazelnut 227Gm,12.25,13.99,10,Snacks,-12.43745533
Cadburry Dairy Milk Oreo 95G,8.51,8.5,6.67,Snacks,0.1176470588
Cadbury Dairy Milk Chocolate 230Gm,12.25,13.75,10,Snacks,-10.90909091
Cadbury Dairy Milk Fruit & Nut 230Gm,12.25,13.74,10,Snacks,-10.84425036
Lindt Excellence 70% Cocoa 100Gm,14.5,17.5,13.2,Snacks,-17.14285714
Lindt Excellence Cocoa 85% 100Gm,14.39,17.51,13.15,Snacks,-17.81838949
Lindt Excellence Cocoa 90% 100Gm,15.7,17.5,13.2,Snacks,-10.28571429
Kallo Rice Cake No Added Salt 130Gm,10.5,14,10,Snacks,-25
Lays Forno Auth Cheese 170g,7.99,10.5,7.7,Snacks,-23.9047619
Lays Forno Black Pepper 170g,7.99,10.5,7.7,Snacks,-23.9047619
Indomie Cup Noodles Beef 60g,3.5,3.75,2.65,Instant noodles,-6.666666667
Indomie Cup Noodles Chicken 60g,3.5,3.75,3.25,Instant noodles,-6.666666667
Indomie Cup Noodles Curry 60g,3.5,3.5,2.65,Instant noodles,0
Indomie Cup Noodles Fried Migoreng 75g,3.75,5.51,3.8,Instant noodles,-31.94192377
Indomie Cup Noodles Vegetable 60g,3.5,3.5,2.65,Instant noodles,0
Koka Bowl Noodles Chicken 90g,5.75,5.25,4.2,Instant noodles,9.523809524
Koka Bowl Noodles Seafood 90g,5.75,5.25,3.15,Instant noodles,9.523809524
Koka Bowl Noodles Tom Yam 90g,5.75,5.76,4.2,Instant noodles,-0.1736111111
Koka Cup Noodles Beef 70g,4.25,4.05,3.15,Instant noodles,4.938271605
Koka Cup Noodles Vegetable 70g,4,4.5,3.15,Instant noodles,-11.11111111
Bayara Cashew Roasted 200g,21,23,18.4,Nuts and Seeds,-8.695652174
Always Large With Wings 30,18,15,11.35,Toiletries,20
Carefree Duo Effect Intimate Foam Gt+Av 150Ml,52.5,43,44.5,Toiletries,22.09302326
Carefree Flexi Comfort Cotton 12/20 Pcs,13.6,16.01,14,Toiletries,-15.05309182
Sensodyne T/Paste 75Ml Rapid Action,32.99,23,29.65,Toiletries,43.43478261
Sensodyne T/Paste 75Ml Rapid Action Whitening,34.5,36,29.65,Toiletries,-4.166666667
Colgate Plax Freshmint 250Ml,20.99,22.5,19.25,Toiletries,-6.711111111
Dettol Handwash Original 200Ml,15.75,17.5,12.55,Toiletries,-10
Lifebouy Handwash Total10 200Ml,14.99,15.49,10.75,Toiletries,-3.227888961
Dove Shamp Colour Care (Dlx) 12X400Ml,23.99,27,19.45,Toiletries,-11.14814815
Dove Shampoo Thickening Ritual 400 Ml,27.99,32,23.5,Toiletries,-12.53125
Dettol Hand Sanitizer 50 Ml (Original),12.79,15,13.75,Toiletries,-14.73333333
Fine Toilet Roll Xl 10S,20.99,18,20.25,Household Supplies,16.61111111
Ariel Green 260g,4.5,4.99,4.25,Household Supplies,-9.819639279
7Days Croissant Chocolate 55G,2,2.25,1.6,Baked goods,-11.11111111
7Days Croissant Strawberry 55G,1.75,2.25,1.6,Baked goods,-22.22222222
7Days Croissant Vanilla 55G,2,2.25,1.6,Baked goods,-11.11111111
7Days Jumbo Croissant Hazelnu&Cocoa 100G,3.75,4,3.5,Baked goods,-6.25
Lusine Brown Sandwich Bread 600 Gm,5.45,6.5,5.1,Baked goods,-16.15384615
Lusine Milk Bread 600Gm,7.75,7.49,7,Baked goods,3.47129506
Lusine Multi Grain Sliced Bread 600 Gm,8.51,7.35,7,Baked goods,15.78231293
Lusine Soft White Slice Bread 620 Gm,5.45,5.98,4.6,Baked goods,-8.862876254